furniture-10000201,Default - Bed
furniture-10001602,Artic Igloo - Ice Hole Carpet
furniture-20001602,Everyone who walks over it are wrought with the fear of falling into a hole in the ice. Except for Colt. She really wants to try falling into one.
furniture-10001603,Artic Igloo - Ice Brick
furniture-20001603,Made with reinforced glass. You can also turn on the built-in heating if needed without worrying about freezing your butt off.
furniture-10001604,Arctic Igloo - Ice Brick (Claw Prints)
furniture-20001604,Made with reinforced glass. You can also turn on the built-in heating if needed without worrying about freezing your butt off. Source of claw prints unknown.
furniture-10001605,Arctic Igloo - Snow Plains Scenery
furniture-20001605,This display screen of a charming arctic landscape sure makes you awe at the magic of nature.
furniture-10001606,Arctic Igloo - Simplistic Shelves
furniture-20001606,It's filled up with all sorts of supplies in an attempt to imitate the Aboriginals style. M45 has provided some canned fish//c but nobody dares to try them.
furniture-10001607,Arctic Igloo - Baby Seal
furniture-20001607,Produced using synthetic materials so no need to worry about protests from environmental groups. It embodies the cutest side of baby seals.
furniture-10001608,Arctic Igloo - Baby Seal (Sleeping)
furniture-20001608,An investigation by Griffin led to the discovery that some commanders harbor hostility against seals//c so custom made sandbags in the shape of baby seals were ordered to foster everyone's love for these animals.
furniture-10001609,Arctic Igloo - Aboriginal Sofa
furniture-20001609,Draped with a hand-dyed fabric//c sitting in it makes you feel like a chieftain.
furniture-10001610,Arctic Igloo - Simple Fireplace
furniture-20001610,A simple fireplace. The flames are only a hologram projection//c but the heater installed inside can really heat things up. Comes with a woolen WA2000 snowman doll.
furniture-10001611,Arctic Igloo - Stump Table
furniture-20001611,A huge stump table. Whoever vandalizes the table will be taken away by Helian for disciplinary and corrective actions.
furniture-10001612,Arctic Igloo - Griffin Tribal Flag
furniture-20001612,"If the world is really coming to an end then we'll use this symbol to rebuild society from the beginning!" "Forgive me//c but no."
furniture-10001613,Arctic Igloo - Ribboned Deer Mount
furniture-20001613,An exemplary example of craftsmanship created with the use of ceramics. It exudes a sense of tranquility. No real animal was harmed in the making of this mount.
furniture-10001614,Arctic Igloo - Winter Night Wallpaper
furniture-20001614,Uses a color commonly associated with the arctic winter. Feels cool and refreshing in the summer//c but a little bit cold in the winter.
furniture-10001615,Arctic Igloo - Cashmere Floor
furniture-20001615,It looks as if you're walking on snow//c but it unfortunately does not leave any footprints. You can't roll up a snowman either.
furniture-10030001,Makarov - Pumpkin Mishka
furniture-20030001,Makarov's Halloween Poster
furniture-10030002,Vector - Kitty Paw Pads
furniture-20030002,Vector's Halloween Poster
furniture-10030003,MP5 - Familiar of the Night
furniture-20030003,MP5's Halloween Poster
furniture-10030004,M45 - Candy Delivery
furniture-20030004,M45's Halloween Poster
furniture-10030005,Springfield - Classic Witch
furniture-20030005,Springfield's Halloween Poster
furniture-10030006,WA2000 - Adventure in the Castle
furniture-20030006,WA2000's Halloween Poster
furniture-10030007,M1919A4 - Carmilla
furniture-20030007,M1919A4's Halloween Poster
furniture-10030008,Impish Sweetheart
furniture-20030008,Mkp23's Halloween Poster
furniture-10030009,Gr G11 - Zombie Homebody
furniture-20030009,Gr G11's Halloween Poster
furniture-10030010,Lee-Enfield - Huntress' Frock
furniture-20030010,Lee-Enfield's Poser
furniture-10030011,Type 64 - Witch From Afar
furniture-20030011,T64's Halloween Poster
furniture-10030101,Micro Uzi - Dork Just Woke Up
furniture-20030101,Micro Uzi's Poster
furniture-10030102,M1918 - Bunny Girl
furniture-20030102,M1918's Poster
furniture-10030103,MP446 - Boisterous Rogue
furniture-20030103,MP-446's Poster
furniture-10030104,Type 64 - Water Gown
furniture-20030104,T64's Poster
furniture-10030105,Grizzly - Weekend Cop
furniture-20030105,Grizzly's Poster
furniture-10030106,M1919A4 - Party Sweetheart
furniture-20030106,M1919A4's Poster
furniture-10030301,M1873 - Wish upon a Star
furniture-20030301,M1873's Poster
furniture-10030302,Springfield - Blessings on a Holy Night
furniture-20030302,Springfield's Poster
furniture-10030303,M14 - Christmas Parade Frock
furniture-20030303,M14's Poster
furniture-10030304,M21 - Christmas Domestic Dress
furniture-20030304,M21's Poster
furniture-10030305,SVD - Winter Fairy
furniture-20030305,SVD's Poster
furniture-10030306,WA2000 - Date in the Snow
furniture-20030306,WA2000's Poster
furniture-10030307,NTW-20 - Reindeer
furniture-20030307,NTW20's Poster
furniture-10030308,FAL - Reinforcement in the Frost
furniture-20030308,FAL's Poster
furniture-10030309,Mch5 - Crimson Guardian of the Night
furniture-20030309,Mch5's Poster
furniture-10030310,Suomi - Snow Pixie on Korvatunturi
furniture-20030310,Suomi's Poster
furniture-10030401,Type 56-1 - Scarlet Sage
furniture-20030401,56-1's Poster
furniture-10030402,MP446 - Sunflower
furniture-20030402,MP446's Poster
furniture-10030403,NZ75 - Chrysanthemum
furniture-20030403,NZ75's Poster
furniture-10030404,M99 - Cyclamen
furniture-20030404,M99's Poster
furniture-10030405,Type 95 - Narcissus
furniture-20030405,T95's Poster
furniture-10030406,Type 94 - Peony
furniture-20030406,T97's Poster
furniture-10030407,Type 59 - Fairy Primrose
furniture-20030407,T59's Poster
furniture-10001901,M4A1
furniture-20001901,"Whether we win or die//c so long as we are together… I can ask for no better ending."
furniture-10001902,M16A1
furniture-20001902,"Having emotions is a flaw in itself... Never expect sympathy from them. Especially not now."
furniture-10001903,AR15
furniture-20001903,"We each have our own responsibilities...and that means sometimes we don’t have a choice."
furniture-10001904,M4 SOPMOD II
furniture-20001904,"Hehe//c this must be fate! We're meant to be bestest of friends!"
furniture-10001905,416
furniture-20001905,"Then get down on your knees and apologize... I've been waiting for this for far too long."
furniture-10001906,MkUMP9
furniture-20001906,"Haha//c what's the difference? Aren't we getting on just fine?"
furniture-10001907,MkG11
furniture-20001907,"Yeah//c blame me all you want. You weren't the one that had to make the shot..."
furniture-10001908,MkUMP45
furniture-20001908,"We are a stain on everyone."
furniture-10001909,Elite Griffin Combat Medal
furniture-20001909,Commending the Commander's skill in leading his T-Dolls to perform exceptional feats in battle.
furniture-10001910,Night Cube
furniture-20001910,An ancient stone cube//c showing off the amazing craftsmanship of our predecessors. Other than that//c it is completely useless.
furniture-10001911,MkUMP45
furniture-20001911,"I must work harder to be recognized..."
furniture-10001912,MkUMP40
furniture-20001912,"Now...you are qualified to live."
furniture-10001913,Electronic Warfare Enhancer
furniture-20001913,16LAB's newest masterpiece. An item that can dramatically increase a T-Doll's virtual combat efficiency. Slight side-effects include random recollections in the Neural Cloud. "How should I put it? I did see something...interesting."
furniture-10001914,Old-School Shooting Range Bench
furniture-20001914,"I promise you//c everything will change someday..."
furniture-10030501,AK47 - Lord of War
furniture-20030501,"With the nuclear missiles sitting cold on the launch pad//c only your trusty AK can take its place as a weapon of mass destruction."
furniture-10002101,Starry Night Dreams - To the Moon
furniture-20002101,You don't like crowded places? Me too.
furniture-10002102,Starry Night Dreams - White Chest
furniture-20002102,Regardless if you're opening a treasure chest or Pandora's box//c enjoy the story to your heart's content!
furniture-10002103,Starry Night Dreams - Directionless Cruise
furniture-20002103,It does not matter where we go. Regardless if we're sailing against the wind//c  I will always travel with you.
furniture-10002104,Starry Night Dreams - Sheep Bodega (Left)
furniture-20002104,She failed to catch the crab//c and so she missed the last piece of the goodwill that the story had shown her.
furniture-10002105,Starry Night Dreams - Sheep Bodega (Right)
furniture-20002105,She failed to catch the crab//c and so she missed the last piece of the goodwill that the story had shown her.
furniture-10002106,Starry Night Dreams - Red Rabbit and Ivory
furniture-20002106,It only becomes a lie when it is exposed//c so a lie that has not been exposed is simply the truth.
furniture-10002107,Starry Night Dreams - Hornless Unicorn
furniture-20002107,It doesn't matter if it has a horn or not when you really need it.
furniture-10002108,Starry Night Dreams - Hanashirube
furniture-20002108,The budding flower guided me to set foot on a journey…and so a promise was made.
furniture-10002109,Starry Night Dreams - Cruising the Galaxy
furniture-20002109,The ultimate question for all developed civilizations of the galaxy - Where to go for lunch?
furniture-10002110,Starry Night Dreams - White Queen
furniture-20002110,There was fruit jam yesterday and there will be fruit jam tomorrow//c but there's none today. Never was//c never will.
furniture-10002111,Starry Night Dreams - Story Collections of the Full Moon and the Sea
furniture-20002111,Ultimately in the end//c the storyteller and those whose stories are being told reunites once again//c and the moon contentedly went to sleep.
furniture-10002112,Starry Night Dreams - Arch of Roses and Crystals
furniture-20002112,Good//c everyone is present now. Let the final game begin.
furniture-10002113,Starry Night Dreams - Lighting Up Fireflies
furniture-20002113,Being able to meet you in this city… Thank you…
furniture-10002201,Springday Classroom - Student Desk (Nap Mode)
furniture-20002201,The biggest disadvantage compared to resting by leaning on your desk is that you can't read manga under the cover of your coat.
furniture-10002202,Springday Classroom - Classroom Podium
furniture-20002202,A short few centimeters and it gives the adults that stand on it a sense of accomplishment as if they've conquered the world.
furniture-10002203,Springday Classroom - Student Chair (Lesson Mode)
furniture-20002203,The angle of the chair skews based on the degree of chattiness you have with your friends.
furniture-10002204,Springday Classroom - Student Chair (Classroom Mode)
furniture-20002204,This mode can also be activated during a lesson to copy homework and play with your phone.
furniture-10002205,Springday Classroom - School Lockers
furniture-20002205,What hides inside is a common trope for school setting light novels and…horror games.
furniture-10002206,Springday Classroom - Classroom Blackboard
furniture-20002206,Holds all sorts of precious memories. Well//c most of your youth was spent looking at this thing//c after all!
furniture-10002207,Springday Classroom - Student Desk (Classroom Mode)
furniture-20002207,Don't leave your videogames or magazines inside unless you can come to the classroom earlier than the teacher the next day!
furniture-10002208,Springday Classroom - Student Desk (Afterschool Mode)
furniture-20002208,A mode developed for the ease of classroom cleaning. Depending on the school//c either the student on duty stacks up all the chairs or everybody does it themselves.
furniture-10002209,Springday Classroom - Classroom Lectern
furniture-20002209,Final exams//c answer sheets//c and class marks have always touched this surface before they get handed out.  "I'm the Alpha and the Omega!"
furniture-10002210,Springday Classroom - Classroom Floor
furniture-20002210,Rarely will the floor be littered with snack food wrappers and other garbage//c except during sports days.
furniture-10002211,Springday Classroom - Classroom Wallpaper
furniture-20002211,Leaning on the wall feels much more comfortable than leaning back in your chair//c so many kind-hearted schools will regularly switch up the seating plan.
furniture-10002212,Springday Classroom - Classroom Bulletin Board
furniture-20002212,The most frequent conversation that occurs just before a class: "What class do we have next?" "I forgot. Check for yourself."
furniture-10002213,Springday Classroom - School Shelf
furniture-20002213,People shouldn't be proud to be a part of a group//c but rather they should make the group proud to have them as a part of it.
furniture-10002214,Springday Classroom - School PA System
furniture-20002214,"Everyone//c the broadcast starts now! I'm…" //n"Just forget it//c sis. Nobody even gets it anymore…"
furniture-10002215,Springday Classroom - Classroom Windows
furniture-20002215,One day we will head out into the outside world that we yearned for//c and suddenly look back… Life is full of missed opportunities//c isn't it?
furniture-10030408,PTRD - Romantic Mission
furniture-20030408,PTRD's Poster
furniture-10030409,UMP9 - "Am I late?"
furniture-20030409,UMP9's Poster
furniture-10030410,UMP45 - "No next time."
furniture-20030410,UMP45's Poster
furniture-10030411,Welrod MkⅡ - English in Love
furniture-20030411,Welrod's Poster
furniture-10002301,Holiday Promenade - Town Pigeons Decoration
furniture-20002301,They're only hologram projections as the real pigeons are always late.
furniture-10002302,Holiday Promenade - Town Cruise Ship Decoration
furniture-20002302,We sail on the lake of destiny. Heavy waves chain us to today//c but they will also lead us to tomorrow.
furniture-10002303,Holiday Promenade - Outdoor Bench
furniture-20002303,When you're striking up a conversation with a lost princess//c don't forget that she is sitting on the spot of the bench where you stepped on to tie your shoes.
furniture-10002304,Holiday Promenade - Outdoor Chair (Left)
furniture-20002304,I want to sit in the coffee shop by the street//c go shopping//c and stroll in the rain. Unfortunately//c these are not adventures that I go on alone by myself.
furniture-10002305,Holiday Promenade - Outdoor Chair (Right)
furniture-20002305,I want to sit in the coffee shop by the street//c go shopping//c and stroll in the rain. Unfortunately//c these are not adventures that I go on alone by myself.
furniture-10002306,Holiday Promenade - Outdoor Sunshade
furniture-20002306,Forget about your ideals. Sit down and pay first. Life is more than just dreams and wishes. There is still the present that you have to take care of.
furniture-10002307,Holiday Promenade - Street Lights
furniture-20002307,Bid your farewells to your heart's content//c dear lovers. You have all the time in the world.
furniture-10002308,Holiday Promenade - Electric Moped
furniture-20002308,In order to prevent certain T-Dolls from acting out scenes from movies that would send the Commander flying//c please limit your speed and ensure that your passenger is holding onto you.
furniture-10002309,Holiday Promenade - Newsstand
furniture-20002309,Want a newspaper? Evaluate the distance between you and the world today.
furniture-10002310,Holiday Promenade - Town Mailbox
furniture-20002310,"You've seen my world…but I've only imagined yours. Make me. Make me real!"
furniture-10002311,Holiday Promenade - Cobblestone Pavement
furniture-20002311,You hear the click clack sound of heels striking against the cobblestone pavement and you come to realize that it is fate//c not time//c that determines your love.
furniture-10002312,Holiday Promenade - Outdoor Table
furniture-20002312,"Are you alone?" "No//c I'm waiting for someone." This is the last bit of benevolence left to him by the script.
furniture-10002313,Holiday Promenade - Scenic Town Background
furniture-20002313,"I'm looking at the people here and it must be very interesting to live here." Nevertheless//c you should wake up from your holiday and return to your normal daily life.
furniture-10002401,Museum Trip - Gallery Bench
furniture-20002401,Feel free to have a seat. The dinosaur here will not pounce on you//c and the tank here will not aim at you. This is the peace that you've pursued for your entire life.
furniture-10002402,Museum Trip - Gallery Red Carpet
furniture-20002402,The long carpet guides us to where we're suppose to go. But what about fate? Is it willing to be as straightforward?
furniture-10002403,Museum Trip - Contemporary Weaponry Display
furniture-20002403,Firearms and bombs have allowed humans to detach themselves from the act of killing. It has never been easier in civilized times to stir up hatred.
furniture-10002404,Museum Trip - Ancient Weaponry Display
furniture-20002404,Melee weapons required the user to come face to face with enemy. Combat required more skill//c more courage//c and a simpler reason to fight.
furniture-10002405,Museum Trip - Modern Weaponry Display
furniture-20002405,This era utilizes entirely new tactical weaponry//c but whether war will be even more cruel or not depends entirely upon you//c Commander.
furniture-10002406,Museum Trip - Penguin Specimen
furniture-20002406,These ancient and lovable birds have witnessed all the foolish things humans have done since the Third World War in their home settlements and were tragically swept up in the chaos.
furniture-10002407,Museum Trip - Gallery Rope Barriers
furniture-20002407,It separates you from history. Only history is eternal. And you? You're temporary.
furniture-10002408,Museum Trip - Whale Model
furniture-20002408,Even a real specimen is hard to find nowadays. But it's okay//c mankind. You don't need to pretend like you actually care about us.
furniture-10002409,Museum Trip - Dinosaur Skull
furniture-20002409,"ROAR!"  It introduced the concept of "cool" to children around the world. It is unwittingly the earliest and purest of romances.
furniture-10002410,Museum Trip - Dinosaur Skeleton
furniture-20002410,Its elegant appearance is far more beautiful than the corpulent mammals//c so Homo Sapiens gave them feathers out of spite and envy.
furniture-10002411,Museum Trip - Gallery Floor Tiles
furniture-20002411,Neat and clean floor tiles are always suitable for any sort of public spaces//c but smokers and human younglings always ruin the atmosphere.
furniture-10002412,Museum Trip - Primates' Stump Chair
furniture-20002412,Any sort of entertainment is simply a substitute to satisfying bloodlust//c which most likely came from the fact that food and shelter was plentiful and the brain never had a chance to develop beyond its basal instincts.
furniture-10002413,Museum Trip - Gallery Corridor
furniture-20002413,Don't mind the "History of Predation" banners. The ancestors of humanity have always relied upon extermination to build the civilized society that we have today.
furniture-10002414,Museum Trip - Paper Airplane
furniture-20002414,Perhaps on the Day of Judgment//c the Creator will say this was the invention that pleased me the most.
furniture-10030502,SV98 - Maid
furniture-20030502,SV-98's Poster
furniture-10030601,Tokarev - A Couple's Journey
furniture-20030601,Tokarev's Poster
furniture-10030602,PPsh-41 - Moment of Vows
furniture-20030602,PPsh-41's Poster
furniture-10030603,Sten MK-II - Reciprocated Love
furniture-20030603,Sten MkII's Poster
furniture-10030604,Lee-Enfield - Lifelong Protector
furniture-20030604,Lee-Enfield's Poster
furniture-10030605,PK - By Your Side
furniture-20030605,PK's Poster
furniture-10030606,P7 - Pinky Swear
furniture-20030606,P7's Poster
furniture-10030607,FAL - The Big Day
furniture-20030607,FAL's Poster
furniture-10002001,Magnetic Floating Globe
furniture-20002001,Griffin Private Military Contractor's first anniversary's souvenir. "The journey of a thousand dreams begins with a single step." Kryuger finishes//c then puts the globe in your hands. I should put this somewhere out of my T-Dolls' reach.
furniture-10002501,Subway 2063 - Subway Bench
furniture-20002501,This isn't a suitable bench for chance meetings. It's only good for waiting for the trains.
furniture-10002502,Subway 2063 - Subway Train Schedule
furniture-20002502,A reminder of how much time you have before you need to look away from your phone. Perhaps you should've put it away a long time ago and did something proper for once.
furniture-10002503,Subway 2063 - Subway Ticket Gate
furniture-20002503,A machine for testing human intelligence. Tests include how to swipe metro passes and how to bring large pieces of luggage through the gates. 
furniture-10002504,Subway 2063 - Subway Ticket Machine
furniture-20002504,The obstacles in your path to your faraway destination: your fellow human beings that take forever to find the change for a subway ticket.
furniture-10002505,Subway 2063 - Subway Management Server
furniture-20002505,Like the humans passing by//c its way to express exhaustion is to die and leave a mess.
furniture-10002506,Subway 2063 - Subway Service Desk
furniture-20002506,Thousands pass by every day//c but it does not mean that she isn't lonely.
furniture-10002507,Subway 2063 - Subway Passengers Hologram Projection
furniture-20002507,I hear the winds from the subway and the sea of people. I'm lining up with a number plate but they were all stolen away.
furniture-10002508,Subway 2063 - Platform Barricade
furniture-20002508,How pitiful is it that people only pay attention to it when it fails to do what it was created to do.
furniture-10002509,Subway 2063 - Platform Floor Tiles
furniture-20002509,Perhaps there's a story behind every footprint. Whose path will you coincide with?
furniture-10002510,Subway 2063 - Platform Wall
furniture-20002510,The world outside has already fallen asleep//c yet there are many that had just awakened from their dreams.
furniture-10002511,Subway 2063 - Subway Train (Tail End)
furniture-20002511,This metal can is always stuffed full of food//c but the reality is that a real monster has never appeared before.
furniture-10002512,Subway 2063 - Subway Train Car
furniture-20002512,You need a seat//c a book//c and a talking black cat to remind you what you're doing right now.
furniture-10002513,Subway 2063 - Platform Next Stop Sign
furniture-20002513,If you have a destination in mind then you'll know this detour isn't that big of a deal.
furniture-10030701,AR15 - Back to School
furniture-20030701,AR-15's Poster
furniture-10030702,M950A - Ace On Duty
furniture-20030702,M950A's Poster
furniture-10030703,Mch4 - Survival Club Member
furniture-20030703,Mch4's Poster
furniture-10030704,6P62 - Battle Sailor
furniture-20030704,6P62's Poster
furniture-10002601,Colorful Club - School Air Mattress
furniture-20002601,The usage of it indoors and outdoors is not the same. Neither is its purpose in the game and in reality.
furniture-10002602,Colorful Club - Club Member Chair
furniture-20002602,The inability to spin hints at its existance as a chair for commoners//c although it does come with the advantage of not slipping out under you when you're taking an afternoon nap.
furniture-10002603,Colorful Club - Club Member Chair
furniture-20002603,The inability to spin hints at its existance as a chair for commoners//c although it does come with the advantage of not slipping out under you when you're taking an afternoon nap.
furniture-10002604,Colorful Club - School Band Instruments
furniture-20002604,Forget the anime. Only the vocalist with the speech disorder and the 300kg drummer can bring the hype and excitement.
furniture-10002605,Colorful Club - Club Room Whiteboard
furniture-20002605,90% of the content on the board are nonsense//c but great inspirations are born from foolish ideas.
furniture-10002606,Colorful Club - School Photocopier
furniture-20002606,Oppression of the students in the forms of tests and quizzes are spit out from this machine!
furniture-10002607,Colorful Club - School Bookcases
furniture-20002607,Few people care about what's stored here//c except when they're bored out of their minds waiting for orders.
furniture-10002608,Colorful Club - Club Room Floor
furniture-20002608,A simple and durable floor. You can differentiate between the footsteps of a student and a teacher by the sound alone.
furniture-10002609,Colorful Club - Club Desk
furniture-20002609,Anything bothering you? Let's hear all about it. My pals and I are always keeping our ears open for the latest gossip.
furniture-10002610,Colorful Club - Club Computer Desk
furniture-20002610,It's just an act. Who even seriously needs to use a computer at school if not to slack off?
furniture-10002611,Colorful Club - Club Room Walls
furniture-20002611,The neat and tidy walls make you feel a sense of deference. The adults also want the children to believe as if they were gods.
furniture-10002612,Colorful Club - Club Room Paintings
furniture-20002612,Paintings of those at the top of the organization. Orders are different from religion. We never signal virtue.
furniture-10002613,Colorful Club - Club Room Windows
furniture-20002613,No matter how wonderful the outside world is//c let us create precious memories now in the present.
furniture-10003201,Seaside Lodge - Changing Room Floor
furniture-20003201,A stone floor is easy to wash but hard to sweep. It's a chore in itself to explain to a robot the difference between patterns and dust.
furniture-10003202,Seaside Lodge - Beach Rug
furniture-20003202,The rippling of the waves has been blown straight by the sea breeze... That's how the designer explained the design.
furniture-10003203,Seaside Lodge - Surfboard Rack
furniture-20003203,Looking cool while surfing can bring much joy to oneself//c but failures while surfing can bring even more joy to everyone else.
furniture-10003204,Seaside Lodge - Lounge Food Cabinet
furniture-20003204,Do you want any dessert? You've already survived the toughest period of dieting//c so it's now time to take revenge on your fate!
furniture-10003205,Seaside Lodge - Lounge Table
furniture-20003205,You focus solely on the delicious cakes and drinks while ignoring the table that carries these blessings. Everything that exists has a meaning!
furniture-10003206,Seaside Lodge - Beach Wine Cabinet
furniture-20003206,Please practice moderation in drinking while in the company of friends and a deck of cards. The game and the jokes should be moderate as well.
furniture-10003207,Seaside Lodge - Lounge Trolley
furniture-20003207,Listening to the waves while consuming alcohol and CO2 is also a way of life. After all//c freedom is when you let yourself go for those few hours.
furniture-10003208,Seaside Lodge - Lounge Changing Room
furniture-20003208,Please remember your own number to avoid any unnecessary conflict. Please do not hammer on the door after closing it.
furniture-10003209,Seaside Lodge - Locker Room
furniture-20003209,Photography and video recording are forbidden within the area//c as is taking others' swimwear… Yes//c T-Dolls too//c especially them due to precedents.
furniture-10003210,Seaside Lodge - Green Leisure Sofa
furniture-20003210,Please clean off the seawater and sand from your skirt before sitting. Sigh//c this sofa is already salty enough…
furniture-10003211,Seaside Lodge - Red Leisure Sofa
furniture-20003211,Leather sofas are not suitable for direct contact with wet skin//c please cover up your body before resting on it.
furniture-10003212,Seaside Lodge - Changing Room Bench
furniture-20003212,Can be used for many purposes other than sleeping. However//c rules are made to be broken!
furniture-10003213,Seaside Lodge - Lounge Wallpaper
furniture-20003213,Did this building have overly lavish wallpaper first or overly ornate chandeliers first? Money really is the root of one's troubles.
furniture-10003214,Seaside Lodge - Lounge Chandelier
furniture-20003214,Is it too extravagant for a lounge? Let's just make the wallpapers more stylish then! …I really want to try saying that for once.
furniture-10003215,Seaside Lodge - Beach Row Boat
furniture-20003215,You need to overcome many difficulties when rowing this//c such as the wind//c the waves//c and your teammates who aren't really in sync with you.
furniture-10003216,Seaside Lodge - Seaview Window
furniture-20003216,The beautiful holidays are ending//c but you've never really left behind what's outside. After all//c humans are not tourists to the natural world.
furniture-10003301,Radiant Beach - Beach Floor
furniture-20003301,Deserts and beaches give completely different kinds of feelings to humans. The Creator must be vexed//c having to care for such a troublesome species.
furniture-10003302,Radiant Beach - Beach Blanket
furniture-20003302,A blanket emanating the smell of summer. That is to say sunlight//c sea breeze//c ice cream and sunscreen.
furniture-10003303,Radiant Beach - Beach Parasol
furniture-20003303,To avoid being pranked//c please check if there is a mechanism that will snap the parasol shut before using it -- Haha! You got trapped inside!
furniture-10003304,Radiant Beach - Sandcastle
furniture-20003304,The so-called tragedy is to destroy something of value in front of others… What? Everyone's laughing? The highest form of comedy is tragedy after all!
furniture-10003305,Radiant Beach - Iced Drinks and Snacks
furniture-20003305,The biggest difference with normal snacks is that these usually come into contact with your face first instead of your mouth.
furniture-10003306,Radiant Beach - Artificial Coastline
furniture-20003306,For humans//c this is a reminder of where the boundary is. Only through this can the last group of sharks and dolphins on Earth be protected.
furniture-10003307,Radiant Beach - Captain Turtle
furniture-20003307,We didn't give it this hat to wear for fun//c it's to prevent it from flipping over! It's been ten times already//c ten times!
furniture-10003308,Radiant Beach - Beach Chair (Left)
furniture-20003308,An elegant lady knows how to enjoy a holiday by the seaside//c whereas idiots would only use this opportunity to horse around in a new location.
furniture-10003309,Radiant Beach - Beach Chair (Right)
furniture-20003309,An elegant lady knows how to enjoy a holiday by the seaside//c whereas idiots would only use this opportunity to horse around in a new location.
furniture-10003310,Radiant Beach - Pirate Treasure Ship
furniture-20003310,This shipwreck proves that people are willing to abandon treasure//c friendship//c and freedom to obtain the world's best napping spot.
furniture-10003311,Radiant Beach - Beach Bath
furniture-20003311,Did you really think that everyone made this to let you enjoy an afternoon nap? They just wanted to bury you and draw on your face!
furniture-10003312,Radiant Beach - Ocean Vista
furniture-20003312,We understand that you want to see more of the ocean//c but that's not your home after all… As for who it belongs to//c it's best if you don't ask.
furniture-10003313,Radiant Beach - Mysterious Island
furniture-20003313,Do you believe that there's a stupid box there worth abandoning everything for? Or are you satisfied with yourself with the thought that "friendship is the biggest treasure of all"?
furniture-10003314,Radiant Beach - Small Sailboat
furniture-20003314,This kind of small toy boat can only drift near the beach//c and you'll need to swim if you want to go further. You are T-Dolls//c remember?
furniture-10003315,Radiant Beach - Hot Air Balloon
furniture-20003315,The more of the world you see//c the more you'll think of home… Nothing in life is easy//c that's why it's interesting//c isn't it?
furniture-10003401,Let's go to Seoul! - Vintage Wooden Floor
furniture-20003401,A classical vintage wooden floor. "As I stand on the forgotten station//c I put my heart and soul into my bag//c and wait for the train that comes only for me."
furniture-10003402,Let's go to Seoul! - Vintage Plaid Rug
furniture-20003402,A traditional rug woven neat and tight. "From L to O and to V and E//c you are the meaning of my life."
furniture-10003403,Let's go to Seoul! - Commemorative Snowglobe
furniture-20003403,A snowglobe with the buildings of Seoul within. "That day when the white snow turned into happiness; that day when the white snow turned into laughter."
furniture-10003404,Let's go to Seoul! - Potted Monstera
furniture-20003404,An ornamental plant that improves one's mood. "Let us hold hands as we gaze at the blue sky//c and sketch out a world of our creation."
furniture-10003405,Let's go to Seoul! - Souvenir Shelf
furniture-20003405,A shelf with meticulously arranged souvenirs on it. "Buy one shirt less each month and you'll have five goats! Send it as a gift to your friend on the other side of the world!"
furniture-10003406,Let's go to Seoul! - Glass Table
furniture-20003406,A glass table for your own pastime. "With a glass of aromatic red wine and a slice of cake at the end of a tiring day//c loneliness creeps up behind your heart."
furniture-10003407,Let's go to Seoul! - Floor Lamp
furniture-20003407,A simple floor lamp. "I close my eyes and think of you. I look for you in my heart//c for it was you who let me see the light."
furniture-10003408,Let's go to Seoul! - Telescope
furniture-20003408,A telescope favored by hobbyists. "In the faraway Milky Way//c there is a small white boat//c and on the boat is an osmanthus tree//c where white bunnies frolic and play."
furniture-10003409,Let's go to Seoul! - Korean-Style Dinner Table
furniture-20003409,A traditional Korean-style short-legged dinner table. "Arirang ah Arirang//c your road ahead is long and arduous; day and night I think of you//c remembering my promise I dwell in this empty house."
furniture-10003410,Let's go to Seoul! - Trendy Curved TV
furniture-20003410,A curved television that was once cutting-edge technology. "I want to build my own world with these two hands. Do not force me to live a life similar to yours."
furniture-10003411,Let's go to Seoul! - Big Sofa
furniture-20003411,A two-person sofa that warms people's hearts. "You would never say goodbye to me//c but leave me dumbly sitting there in a daze."
furniture-10003412,Let's go to Seoul! - Korean-Style Cushion
furniture-20003412,A traditional Korean-style cushion. "Three little bears in a house. Papa bear//c Mama bear//c and Baby bear. What a happy family!"
furniture-10003413,Let's go to Seoul! - Vintage Wallpaper
furniture-20003413,A vintage wallpaper with a solemn feel. "The wind calls out our dying memories as it cries through the ruins. I hope you've gotten used to hugs being farewell."
furniture-10003414,Let's go to Seoul! - Trendy Ceiling Lamp
furniture-20003414,A crystal clear glass lamp. "Your smile is as beautiful as the four corners of the Earth//c sparkling brightly like a pure crystal."
furniture-10003415,Let's go to Seoul! - Trendy Floor-to-Ceiling Window
furniture-20003415,A floor-to-ceiling window that lets one admire the night view. "Can I get through all this just as you did? It is like a long and dark night//c this I can feel."
furniture-10003501,Hot Spring Time - Japanese Flagstone Path
furniture-20003501,A Japanese-style flooring made of stone. "Even if the journey ahead is full of unknowns//c I will still move on ahead happily."
furniture-10003502,Hot Spring Time - Hot Spring Signpost
furniture-20003502,A signpost marking the location of the hot spring. "The beautiful days have long since passed//c and homesickness gallops onwards tirelessly; it creeps ever closer and touches my skin//c gently guiding my heart."
furniture-10003503,Hot Spring Time - Lantern Rack
furniture-20003503,A lantern rack for lively events. "The small lanterns glowing red bloom cheerfully in the Summer Festival//c as the twinkling of the wind chimes reverberate within my mind."
