furniture-10000101,ハロウィン-ゴシック・ベッド
furniture-10001504,コンビニ-レジカウンター
furniture-20001504,ここではグリフィンのチャージカード、現金等、複数の支払方法が使用可能。ほら、ボトルの蓋を持って帰れ。ゲームのやりすぎだ。
furniture-10001505,コンビニ-スピリッツショーケース
furniture-20001505,指揮官にひとつ真面目な提案があって、アルコールの棚をレジの後ろに移しましょう。戦術人形も酔っぱらうことがあるからね。なんでそんなことを知っているかは訊かないでくれ。
furniture-10001506,コンビニ-商品ラックA
furniture-20001506,スーパーマーケットが消費主義の廃墟の上に建つ教会なら、商品を満載したラックは聖歌隊といったところだろう。
furniture-10001507,コンビニ-商品ラックB
furniture-20001507,豆知識：スーパーでは、人気のない商品はふつう一番下の段に置かれている。
furniture-10001508,コンビニ-冷蔵ショーケース
furniture-20001508,なんてこった！戦後のこの世界の端っこにある小さな防御地区でも、飲料戦争が今も続いていたとは。
furniture-10001509,コンビニ-ハイテーブル
furniture-20001509,電子レンジで温めたインスタント食品を食べながら、外の風雪の中をそそくさと去っていく人たちを眺める。幸せはこんなちょっとしたことでも訪れる。
furniture-10001510,コンビニ-古いテレビ
furniture-20001510,電波が悪いようなら、ちょっと叩いてみて。あ、今の新人指揮官じゃ、そんなこと知らないか。
furniture-10001511,コンビニ-コンビニ壁紙
furniture-20001511,ビニール製なので手入れも交換も楽ちん。裏にはヒーターも付いている。
furniture-10001512,コンビニ-宣伝ポスター
furniture-20001512,「世界に平和を……」「はいはい、そうね。銃を置いてゆっくり話してごらん」
furniture-10001513,コンビニ-防犯ミラー
furniture-20001513,万引き監視のための装置なんだが、戦術人形はよくこの下で髪を整えている。
furniture-10001514,コンビニ-ハイスツール(右)
furniture-20001514,ハイテーブルは立ったまま食事ができるよう設計された物だが、ハイスツールは新たに人をハイテーブルの前に座らせるという不可解な物。
furniture-10001515,コンビニ-ハイスツール(左)
furniture-20001515,ハイテーブルは立ったまま食事ができるよう設計された物だが、ハイスツールは新たに人をハイテーブルの前に座らせるという不可解な物。
furniture-10001601,雪のドーム-白熊ベッド
furniture-20001601,夢の中でもあなたを守り続けてくれる熊。いいでしょう？ちょーっと大きいですけど。
furniture-10001602,雪のドーム-氷穴ラグ
furniture-20001602,この上に差し掛かると、誰でも思わずビクッとします。ただしコルトは別。彼女は本当に落ちてみたいと思ってるんですから。
furniture-10001603,雪のドーム-ブロックアイス
furniture-20001603,強化ガラス製で、必要ならば内蔵ヒーターをオンにして、風邪をひく心配も不要。足跡が付いたのは何でだか不明。
furniture-10001604,雪のドーム-ブロックアイス（足跡付き）
furniture-20001604,強化ガラス製で、必要ならば内蔵ヒーターをオンにして、風邪をひく心配も不要。足跡が付いたのは何でだか不明。
furniture-10001605,雪のドーム-雪原
furniture-20001605,魅力いっぱいの極致の風景を配信。誰もが大自然の不思議に感嘆しきり。
furniture-10001606,雪のドーム-ウッドシェルフ
furniture-20001606,先住民のスタイルを真似るため、雑多な物を置いてある。カールグスタフM45がくれたニシンの缶詰は誰も開けようとはしない。
furniture-10001607,雪のドーム-赤ちゃんアザラシ
furniture-20001607,人工的な材料を使っているので、環境保護団体から抗議を受ける心配はない。アザラシの赤ちゃんの可愛らしさを再現。
furniture-10001608,雪のドーム-赤ちゃんアザラシ（睡眠中）
furniture-20001608,一部の指揮官がアザラシに敵意を抱いているという報告を得たグリフィンが、皆に思いやりの心を育むためにわざわざ誂えたぬいぐるみ。
furniture-10001609,雪のドーム-トライバルソファ
furniture-20001609,手染めした織物をカバーの上に座っていると、部族の長になった気分が味わえる。
furniture-10001610,雪のドーム-素朴な暖炉
furniture-20001610,簡単に組み立てられるストーブ。炎は投影だが、ファンヒーターを内蔵しているため、本当に暖かい。毛織物で作ったWA2000雪だるまはオマケ。
furniture-10001611,雪のドーム-切り株テーブル
furniture-20001611,巨大な切り株型のテーブル。ナイフで表面に傷を付けようものなら、ヘリアンに連行されて矯正指導される。
furniture-10001612,雪のドーム-グリフィンの旗
furniture-20001612,「世界が本当に滅んだら、この旗印を使って、原始社会からやり直そう！」「いや、勘弁してください。」
furniture-10001613,雪のドーム-鹿の剥製
furniture-20001613,静かな佇まいの陶器製の工芸品。みんな、動物を保護しよう！
furniture-10001614,雪のドーム-冬夜の壁紙
furniture-20001614,極地を連想させる代表的な色を使っている。夏は涼しそうでいいが、冬は寒そう。
furniture-10001615,雪のドーム-スノ－ランド
furniture-20001615,見ていると雪の中を歩いているよう。残念ながら足跡は付かないし、雪だるまも作れないけれど。
furniture-10030001,マカロフ-カボチャとクマ
furniture-20030001,マカロフのハロウィンポスター。
furniture-10030002,Vector-にゃんこヴェクター
furniture-20030002,Vectorのハロウィンポスター。
furniture-10030003,Gr MP5-闇夜の使い魔
furniture-20030003,Gr MP5のハロウィンポスター。
furniture-10030004,m45-キャンディ・エクスプレス
furniture-20030004,m45のハロウィンポスター。
furniture-10030005,スプリングフィールド-古典派魔女
furniture-20030005,スプリングフィールドのハロウィンポスター。
furniture-10030006,WA2000-古城探検
furniture-20030006,WA2000のハロウィンポスター。
furniture-10030007,M1919A4-カーミラ
furniture-20030007,M1919A4のハロウィンポスター。
furniture-10030008,Gr Mk23-スイートな小悪魔
furniture-20030008,Gr Mk23のハロウィンポスター。
furniture-10030009,Gr G11-引き込もりゾンビ
furniture-20030009,Gr G11のハロウィンポスター。
furniture-10030010,リー・エンフィールド-フォーマルハンター
furniture-20030010,リー・エンフィールドのポスター。
furniture-10030011,64式-異国の魔女
furniture-20030011,64式のハロウィンポスター。
furniture-10030101,Micro Uzi-寝起きのおバカさん
furniture-20030101,Micro Uziのポスター。
furniture-10030102,M1918-バニーガール
furniture-20030102,M1918のポスター。
furniture-10030103,MP-446-やんちゃノイジー
furniture-20030103,MP-446のポスター。
furniture-10030104,64式-水辺のキャミソール
furniture-20030104,64式のポスター。
furniture-10030105,グリズリー-週末SP
furniture-20030105,グリズリーのポスター。
furniture-10030106,M1919A4-パーティーハニー
furniture-20030106,M1919A4のポスター。
furniture-10030301,コルトSAA-星への願い事
furniture-20030301,コルトSAAのポスター。
furniture-10030302,スプリングフィールド-ホーリーナイトの祝福
furniture-20030302,スプリングフィールドのポスター。
furniture-10030303,M14-クリスマス・ドレス
furniture-20030303,M14のポスター。
furniture-10030304,M21-聖夜のルームウェア
furniture-20030304,M21のポスター。
furniture-10030305,SVD-冬の妖精
furniture-20030305,SVDのポスター。
furniture-10030306,WA2000-雪の日の約束
furniture-20030306,WA2000のポスター。
furniture-10030307,NTW20-聖夜のトナカイ
furniture-20030307,NTW20のポスター.
furniture-10030308,FAL-ウィンターヴェール補給作戦
furniture-20030308,FALのポスター。
furniture-10030309,Gr MG5-緋色のナイトウォッチ
furniture-20030309,Gr MG5のポスター。
furniture-10030310,スオミ-スノウエルフ
furniture-20030310,スオミのポスター。
furniture-10030401,56-1式-サルビア
furniture-20030401,56-1式のポスター
furniture-10030402,MP-446-ヒマワリ
furniture-20030402,MP-446のポスター。
furniture-10030403,NZ75-ゴールドデイジー
furniture-20030403,NZ75のポスター。
furniture-10030404,M99-シクラメン
furniture-20030404,M99のポスター。
furniture-10030405,95式-グレース
furniture-20030405,95式のポスター。
furniture-10030406,97式-牡丹
furniture-20030406,97式のポスター。
furniture-10030407,59式-サクラソウ
furniture-20030407,59式のポスター。
furniture-10001701,春節-太鼓橋
furniture-20001701,漢陽88式：橋のした、川が流れるサラサラと。これは誰もが知ってる童謡の出だしですよ。//nNZ75：ふん、本当に子供たちが歌ってるからといって、大していい歌詞でもないだろ。
furniture-10001702,春節-石造りの腰掛け(左)
furniture-20001702,59式：これのいいところは、どの方向から跨いでも木馬にできるとこだよ～！//n63式：ちょっとちょっと、気をつけて、また転がっていかないでくださいよ！
furniture-10001703,春節-蓮と水車
furniture-20001703,97式：お姉ちゃん、これ何の役に立つの？水も変えなきゃいけないなんて……//n95式：ほら、今晩のレンコンの揚げ物はこれを使うのよ。//n97式：ええっ、この池って本物？！
furniture-10001704,春節-爆竹屋台
furniture-20001704,97式ショット：祝日の娯楽は適度じゃないとね。環境に悪いとか、安全に問題があるとかはダメよ。//n56式半：みんなで歌を唄ったり、踊ったりもダメですか？//n97式ショット：あなたのあの年代の歌や踊りじゃ、みんなが付いてこられませんよ……
furniture-10001705,春節-氷飴屋台
furniture-20001705,79式：サンザシを除いて、ほかの得体のしれないものは氷飴界から追放するべきです！//nM99：ええっ……フルーツ氷飴があってもいいじゃないですか！
furniture-10001706,春節-紙工芸屋台
furniture-20001706,79式：なんで一気にこんなに作ったんですか、あなたらしくもありません。//n92式：売れ残ったら元宵節に使い回そうと思いまして。なんなら中秋節もこれで……
furniture-10001707,春節-石造りの欄干
furniture-20001707,59式：これはこの国伝統の健康器具の1つだよ。//n63式：ちょっと、あなたたち！それは鉄棒じゃないんです。気をつけないとまた落ちますよ！
furniture-10001708,春節-丸いランタン
furniture-20001708,95式：家族みんなでランタンを観賞できてよかったね～？//n97式：まあ、たまには……悪くないわね。
furniture-10001709,春節-石畳
furniture-20001709,M99：素朴できれいに並んでいるタイルから何を連想します？//n56-1式：ん～、公園で太極拳してるお爺ちゃん？//nM99：あなたをこのまま学校に在籍させるには、先生と相談する必要がありますね……
furniture-10001710,春節-石造りの円卓
furniture-20001710,56-1式：もう一勝負どう？負けた人が今晩の料理担当ね！//n64式：（溜め息）わたしに料理してほしいなら、そう言ってくださいよ。知ってるでしょう、わたしが五目並べ苦手なの……
furniture-10001711,春節-お金のなる木
furniture-20001711,92式：もし本当なら、今後は経費の心配が要りませんわね。//n56式半：自分で生活を豊かにしましょう！そんな迷信なんて当てにしちゃいけません！
furniture-10001712,春節-夜空に昇る灯火
furniture-20001712,64式：いつの時代も、みんな幸せを望むけれど、どうして……//n56-1式：だから、わたし達がいるんじゃないですか。
furniture-10001713,春節-宝船
furniture-20001713,漢陽88式：金の山の頂を目指して出発～！//nM99：無駄ですよ、あれはただの絵なんですから！//n88式：じゃあ仕方ありませんね！二次元へ行きましょう！
furniture-10001714,春節-願いのランタン
furniture-20001714,97式ショット：言い伝えでは、これは世界一賢い人が発明したものらしいよ。//nNZ75：けど、そいつの望みは叶わなかったぞ。
furniture-10001715,春節-石造りの腰掛け(右)
furniture-20001715,59式：これのいいところは、どの方向から跨いでも木馬にできるとこだよ～！//n63式：ちょっとちょっと、気をつけて、また転がっていかないでくださいよ！
furniture-10001901,低体温症-M4A1
furniture-20001901,「みんなが一緒なら、勝っても倒れても……私にとってはそれが最高の結末です。」
furniture-10001902,低体温症-M16A1
furniture-20001902,「感情そのものが欠陥だってことさ……同情なんか期待するな。特に今は」
furniture-10001903,低体温症-AR15
furniture-20001903,「みんなそれぞれの責任があるのよ……だから時には選択肢がないこともある。」
furniture-10001904,低体温症-M4 SOPMOD II
furniture-20001904,「えへへ、これは運命だもん。わたしたち、最高の仲間だから。」
furniture-10001905,低体温症-416
furniture-20001905,「じゃあ土下座してもらうわよ……この時を待ちわびたわ。」
furniture-10001906,低体温症-UMP9
furniture-20001906,「あはは、そんなに違わないでしょ。今の暮らしでも十分じゃん？」
furniture-10001907,低体温症-Gr G11
furniture-20001907,「はいはい、あたしが悪うございました……」
furniture-10001908,低体温症-UMP45
furniture-20001908,「面子を潰すのには慣れてるもんで」
furniture-10001909,グリフィン・エリート勲章
furniture-20001909,指揮官とその麾下の戦術人形による優れた功績を表彰する勲章。
furniture-10001910,闇夜のキューブ
furniture-20001910,古い石製のキューブ。昔の人の技には驚嘆するしかないが、それ以外には使い道などはなさそう。
furniture-10001911,ディープダイブ-UMP45
furniture-20001911,「認めてもらうために、もっと頑張らなきゃ……」
furniture-10001912,ディープダイブ-UMP40
furniture-20001912,「今のあんたには生き残る資格がある。」
furniture-10001913,デジタル戦増幅器
furniture-20001913,16LABの最新傑作。人形の電子戦時の性能を大幅に強化するが、わずかにメンタルモデルのバックトレース等の副作用が発生することもある。「どう言えばいいかしら？確実に……面白いものだと思う。」
furniture-10001914,旧射撃場のベンチ
furniture-20001914,「どんなことにもいつの日か必ず変化は訪れる。約束するわ……」
furniture-10001915,特異点-AK12
furniture-20001915,重新对你感到好奇了呢，AR15。
furniture-10001916,特異点-AN94
furniture-20001916,不让她受到伤害是我的职责。
furniture-10001917,特異点-AR15
furniture-20001917,你真的认为，我们的敌人只有铁血而已？
furniture-10001918,特異点-M4A1
furniture-20001918,我只要知道真正该死的是谁，就足够了。
furniture-10001919,チェス
furniture-20001919,这简直……简直是人类没有资格触碰的神迹！
furniture-10001920,テレビ
furniture-20001920,我们所有人，都会找到复仇的对象。
furniture-10001801,ゲーム製作部-オレンジソファ
furniture-20001801,徹夜する職員たちが普段ベッドにしている。ライブ配信をするときは、布団が後ろに隠される。
furniture-10001802,ゲーム製作部-オフィスチェア(左)
furniture-20001802,人間工学に基づいて作られている有名な椅子。職員がPCの前から離れる確率を確実に下げている。
furniture-10001803,ゲーム製作部-オフィスチェア(右)
furniture-20001803,人間工学に基づいて作られている有名な椅子。職員がPCの前から離れる確率を確実に下げている。
furniture-10001804,ゲーム製作部-ライブ配信設備
furniture-20001804,4Kの高解像度カメラにより、プレイヤーはプロデューサーの顔がまた丸くなったという細部から、後続の計画を導き出すことができる。プロデューサー：むくんでいるのは残業で疲れているからだ。
furniture-10001805,ゲーム製作部-ゲームコーナー
furniture-20001805,各種の限定ホストが職員たちの給料の行方を表している。ゲームのパッケージには大抵ディスクが入っていない。
furniture-10001806,ゲーム製作部-オシャレな冷蔵庫
furniture-20001806,中は常に冷えたコーラ（無料）でいっぱい――少なくとも最初はそういう計画だったが、実際は毎日、終業を待たずして空になってしまう。
furniture-10001807,ゲーム製作部-モザイクラグ
furniture-20001807,人を安心させる色を選んで配色されている。これこそ生活に奉仕するデザインだ。
furniture-10001808,ゲーム製作部-鉄骨製階段
furniture-20001808,高さを最大限に利用するため、設計者がマルチ用途の部屋を上手く設けた。
furniture-10001809,ゲーム製作部-合板のフローリング
furniture-20001809,よく見ると木目にインク染みがあるのだが、起き抜けのG11でもない限り床に這いつくばる人はいないので問題ない。
furniture-10001810,ゲーム製作部-女性職員のデスク
furniture-20001810,意外なことに可愛い要素が1つもない。プロ仕様のマイクが持ち主がハードコアのプレイヤーであることを物語っている。
furniture-10001811,ゲーム製作部-プログラマーのデスク
furniture-20001811,垂直方向の画面では、コードの行数をより多く見ることが可能。大きなプロテイン缶は、いからしている二頭筋とともに、「要求を追加するな」という思いをありありとプランナーに伝えている。
furniture-10001812,ゲーム製作部-デザイナーのデスク
furniture-20001812,伝説のZAGALAのデスク。山と積み上げられているデバイスとフィギュアが、並べ終えたドミノのように見事なバランスを成している。
furniture-10001813,ゲーム製作部-二連テーブル
furniture-20001813,ライブ配信時にはノートPCを置く台となる。PCは私物。なんだよ金持ちめ。
furniture-10001814,ゲーム製作部-グレーウォール
furniture-20001814,グレーは余分な反射光を吸収するため、美術スタッフの色彩判断の邪魔をしない。さすがはプロのゲーム会社。
furniture-10001815,ゲーム製作部-IOPロゴ
furniture-20001815,IOP、人類最後の守護者。主な商品は有料ゲーム、卓上カレンダー、キーホルダー、メイドロボットです。
furniture-10001816,ゲーム製作部-薄暮の窓
furniture-20001816,退勤時に窓の外を見て//c目に入ったのが、ガラスに映った自分の憔悴した顔ではなかった場合//c偽のゲーム会社に入ったのかもしれない。
furniture-10030501,AK47-ロードオブウォー
furniture-20030501,「核ミサイルが静かに発射台に横たわっている。あなたのAKこそ大量破壊兵器です。」
furniture-10002101,星夜の夢-月へおでかけ
furniture-20002101,人の多い場所はきらい？私もなの。
furniture-10002102,星夜の夢-白い宝箱
furniture-20002102,開けたのが宝箱だろうと魔の箱だろうと、それぞれの物語をお楽しみください！
furniture-10002103,星夜の夢-ラウンドカーペット
furniture-20002103,どこへ行こうと、たとえ向かい風ばかりになろうと構わない。あなたさえ一緒なら。
furniture-10002104,星夜の夢-羊の雑貨店(左)
furniture-20002104,彼女はそのカニを捕まえられず、かくして、物語が彼女に贈った最後の善意を取り逃がした。
furniture-10002105,星夜の夢-羊の雑貨店(右)
furniture-20002105,彼女はそのカニを捕まえられず、かくして、物語が彼女に贈った最後の善意を取り逃がした。
furniture-10002106,星夜の夢-赤ウサギと白象の牙
furniture-20002106,見抜かれて初めて嘘は成立する。つまり、見抜かれなかった嘘は真実となる。
furniture-10002107,星夜の夢-角なしユニコーン
furniture-20002107,それが本当に必要なときには、角があろうとなかろうと大した違いじゃないでしょ。
furniture-10002108,星夜の夢-花の印
furniture-20002108,咲いたばかりの小さな花に導かれて、私は歩き出した…そのときから、約束は始まった。
furniture-10002109,星夜の夢-天の川
furniture-20002109,銀河系のすべての文明が発展するにつれ、ぶつかる最後の難問。それは昼ごはんをどこで食べるかだ。
furniture-10002110,星夜の夢-ホワイトクイーン
furniture-20002110,明日と昨日はジャムがあるが、今日はない。これまでもなかったし、これからもない。
furniture-10002111,星夜の夢-満月と海のおとぎ話
furniture-20002111,最後の最後に、物語の語り手と中の登場人物が再会を果たすと、月もほっとして眠りについた。
furniture-10002112,星夜の夢-バラと水晶のアーチ
furniture-20002112,いいぞ、これで全部そろった。最後のゲームを始めよう。
furniture-10002113,星夜の夢-煌くホタルライト
furniture-20002113,ありがとう……この街で、私と出会ってくれて……
furniture-10002201,春の教室-学習机（昼寝モード）
furniture-20002201,机に突っ伏して昼寝するのと比べて、最大の欠点は、コートをかぶり中で漫画を読めないこと。
furniture-10002202,春の教室-教壇
furniture-20002202,たったの数センチだが、上に立った大人に、天下に君臨したような達成感をもたらす。
furniture-10002203,春の教室-学習椅子（休み時間モード）
furniture-20002203,椅子の傾き具合は、友人の多さ、話題の流行度に関係している。
furniture-10002204,春の教室-学習椅子（授業モード）
furniture-20002204,このモードを休み時間に起動し、宿題を書き写したり、小説を読んだりすることも可能。
furniture-10002205,春の教室-ロッカー
furniture-20002205,中に隠れるなんて超ベタな展開は、学校が舞台のラノベか、あとはホラーゲームくらいだ。
furniture-10002206,春の教室-黒板
furniture-20002206,数えきれないほどの思い出がつまっている。というのも、青春のほとんどすべてをこの板とにらめっこして過ごすからね！
furniture-10002207,春の教室-学習机（授業モード）
furniture-20002207,中にゲーム雑誌を入れっぱなしにしないこと！次の日、先生より早く教室に着ける自信が無いのならば！
furniture-10002208,春の教室-学習机（放課後モード）
furniture-20002208,掃除しやすいよう考案された変形モード。椅子を上げるのを日直がやるか、各々の生徒がやるかは学校によって異なる。
furniture-10002209,春の教室-教卓
furniture-20002209,期末テストの問題、答案、順位表。すべて、かつてはこの上にあった。「私はアルファであり、オメガである！」
furniture-10002210,春の教室-教室のタイル
furniture-20002210,お菓子の食べかすで汚れていることは、運動会の期間を除けば滅多にない。
furniture-10002211,春の教室-教室の壁紙
furniture-20002211,壁に寄りかかる方が、椅子の背もたれなんかよりずっと気持ち良い。だから、多くの学校では定期的に席替えを行う。
furniture-10002212,春の教室-掲示板
furniture-20002212,授業開始2分前にありがちな会話。「次の授業何だっけ？」「忘れた。自分で確認しろ。」
furniture-10002213,春の教室-小物ラック
furniture-20002213,人は集団に加わることを誇るべきではない。自分が加わったことを集団に誇らせるべきだ。
furniture-10002214,春の教室-校内放送
furniture-20002214,「みんな、ラッパの放送が始まるよ！わたしは……」//n「もういいよ、姉ちゃん。もう聞いて分かる人はいないよ……」
furniture-10002215,春の教室-教室の窓
furniture-20002215,いつか私たちは憧れの世界へ足を踏み入れ、そしてある日突然振り返る……人生はすれ違いの連続でしょ。そうじゃない？
furniture-10030408,PTRD-ロマンチックな任務
furniture-20030408,PTRDのポスター。
furniture-10030409,UMP9-「待った？」
furniture-20030409,UMP9のポスター。
furniture-10030410,UMP45-「今回だけだから」
furniture-20030410,UMP45のポスター。
furniture-10030411,ウェルロッドMkⅡ-英国の恋人
furniture-20030411,ウェルロッドMkⅡのポスター。
furniture-10002301,休日散歩-群れ飛ぶ鳩
furniture-20002301,ハトは単なる投影。本物のハトは時間どおりに飛んでこないから。
furniture-10002302,休日散歩-遊覧船
furniture-20002302,私たちは運命の湖に船を浮かべる。荒波は私たちを今日に縛りつけることもあれば、明日へ導くこともある。
furniture-10002303,休日散歩-屋外ベンチ
furniture-20002303,迷子のお姫様に話しかけるなら、彼女は今、あなたがさっき靴ひもを結ぶために足を掛けていた場所に座っているということをお忘れなく。
furniture-10002304,休日散歩-屋外チェア（左）
furniture-20002304,私は道端のカフェに入り、商店街をぶらつき、雨の中をそぞろ歩きたいのだが、どれも自分1人では達成できない冒険なのが残念だ。
furniture-10002305,休日散歩-屋外チェア（右）
furniture-20002305,私は道端のカフェに入り、商店街をぶらつき、雨の中をそぞろ歩きたいのだが、どれも自分1人では達成できない冒険なのが残念だ。
furniture-10002306,休日散歩-屋外パラソル
furniture-20002306,誰のために雄弁を振るってるんだか知りませんが、まずは座って支払いをお願いします。詩と遠い未来ばかりが人生ではありません、目の前の些細なことも人生のうちです。
furniture-10002307,休日散歩-街灯
furniture-20002307,恋人たちよ、私の下で気の済むまで別れ話をするがいい。どうせ時間はそばで口をつぐんでいるしかできないのだから。
furniture-10002308,休日散歩-電動バイク
furniture-20002308,人形がまた映画を真似て、めちゃくちゃな運転で指揮官を吹っ飛ばしたりしないよう、速度を制限し、後部座席の人がしっかり掴まっているかどうかを確認してください。
furniture-10002309,休日散歩-キオスク
furniture-20002309,新聞いかがです？今日の自分と世界との距離を調べてみましょう。
furniture-10002310,休日散歩-郵便ポスト
furniture-20002310,「あなたはもう私の世界をその目で見たけれど、私はあなたの世界を空想するしかない……どうか私の願いを叶えて！」
furniture-10002311,休日散歩-お洒落な石畳
furniture-20002311,石畳に響くハイヒールの音を耳にしてあなたは悟る。恋は時間ではなく、縁によって落ちるのだと。
furniture-10002312,休日散歩-屋外テーブル
furniture-20002312,「お一人ですか？」「いえ、待ち合わせなんです」。これは脚本があなたに残した最後の慈悲。
furniture-10002313,休日散歩-街の遠景
furniture-20002313,「この人たちを見ていて思った。ここに住んだらきっと面白いだろう。」さあ、休日から目を覚まし、日常へ戻りましょう。
furniture-10002401,博物館の道-博物館のベンチ
furniture-20002401,お好きな場所にどうぞ。ここの恐竜は襲ってきたりしませんし、タンクだってあなたを狙いません。これぞあなた達が終生追い求める平和でしょう。
furniture-10002402,博物館の道-ロングカーペット
furniture-20002402,長いカーペットは私たちが行くべき場所へ導いてくれる。けれど運命は？こんなふうに私たちに近づきたいと思うだろうか？
furniture-10002403,博物館の道-近代武器陳列ケース
furniture-20002403,火器のせいで殺戮は間接的な行為となり、文明時代の人類はこの上なく安直に憎しみを生み出している。
furniture-10002404,博物館の道-古代武器陳列ケース
furniture-20002404,冷兵器は使用者が直に敵と対面することを意味し、戦闘には多くの技術、勇気、単純な理由を必要とする。
furniture-10002405,博物館の道-現代武器陳列ケース
furniture-20002405,この時代はまったく新しい戦術武器を利用していますが、戦争の残酷さがさらに増すかどうかはあなたにかかっています、指揮官。
furniture-10002406,博物館の道-ペンギンの標本
furniture-20002406,古くからいるこの可愛い水鳥は、第3次世界大戦以来、人類が犯した様々な愚かなことを故郷で目の当たりにし、巻き添えになっています。
furniture-10002407,博物館の道-ロープパーテーション
furniture-20002407,あなたと歴史の距離を隔てるもの。歴史だけは永久に不変なのです。あなた？あなたは一時的なものです。
furniture-10002408,博物館の道-クジラの模型
furniture-20002408,今となっては標本さえ見つけるのが難しい。しかし人間というのは……大丈夫、私たちを気にかけている振りをする必要はありません。
furniture-10002409,博物館の道-恐竜頭骨標本
furniture-20002409,「ガオォ～！」。それは子供たちに「カッコよさ」にまつわる概念、すなわち無意識下にある最も原始的で、単純なロマン呼び起こします。
furniture-10002410,博物館の道-恐竜骨格標本
furniture-20002410,優雅な外観は、大きくなりすぎた哺乳動物ではまったく及びもつきません。だからホモ・サピエンスは嫉妬して、恐竜に醜い羽毛を加えたのです！
furniture-10002411,博物館の道-博物館のタイル
furniture-20002411,清潔で厳かな感じのタイルは公共の場所に適していますが、喫煙者と人間の幼体が、いつもその雰囲気を壊しています。
furniture-10002412,博物館の道-霊長類彫刻スツール
furniture-20002412,すべての娯楽は人間の殺戮欲の代用品です。それは基本生活に必要なものが早くに満たされ、能力を発揮できなくなった大脳のせいかもしれません。
furniture-10002413,博物館の道-博物館の回廊
furniture-20002413,「捕食の歴史」というプレートは、あまり気にしないでください。人類の祖先は、ずっと何かを絶滅させることで今日の文明を築いたんですから。
furniture-10002414,博物館の道-紙飛行機模型
furniture-20002414,創造主は審判の日に、これこそ最も気に入った発明だと言うかもしれません。
furniture-10030502,SV-98-ウェイトレス
furniture-20030502,SV-98のポスター。
furniture-10030601,トカレフ-2人の旅
furniture-20030601,トカレフのポスター。
furniture-10030602,PPsh-41-約束の時
furniture-20030602,PPsh-41のポスター。
furniture-10030603,ステンMK-II-届いた想い
furniture-20030603,ステンMK-IIのポスター。
furniture-10030604,リー・エンフィールド-一生守り抜く
furniture-20030604,リー・エンフィールドのポスター。
furniture-10030605,PK-あなたと共に
furniture-20030605,PKのポスター。
furniture-10030606,P7-掌の約束
furniture-20030606,P7のポスター。
furniture-10030607,FAL-一番大事な日
furniture-20030607,FALのポスター。
furniture-10002001,超電導天球儀
furniture-20002001,グリフィン人形関連のセキュリティ請負業務、正式展開一周年を記念した品。「幾千の理想も一歩から」。クルーガーはそう言い、手ずからこれを入職して間もない新任指揮官に授与した。これは人形の手が届かないところに置くべきかな……
furniture-10002501,メトロ2063-駅のベンチ
furniture-20002501,人と会うには適さないベンチ。ただ待つためにしか使えない。
furniture-10002502,メトロ2063-時刻案内板
furniture-20002502,あとどのくらいで携帯をしまうべきかを知らせてくれる。もっとも、とっくに携帯なんかしまって、他のタスクに取り掛かるべきだろうが。
furniture-10002503,メトロ2063-自動改札
furniture-20002503,検札や、大きな荷物を手にどのように通るかを含めた、人間の知能を測る機械。
furniture-10002504,メトロ2063-自動券売機
furniture-20002504,遠出を妨げるのはいつも、前に並び小銭をなかなか取り出せずにいる人々だ。
furniture-10002505,メトロ2063-駅集中管理サーバー
furniture-20002505,通り過ぎていく人間たちと同じで、死ぬことで疲れ果てたことを示す。もちろん、その後に起こる大混乱を残して。
furniture-10002506,メトロ2063-駅サービスカウンター
furniture-20002506,毎日何千何万という人々が通り過ぎていくが、だからといって孤独でないかと言えば、そうではない。
furniture-10002507,メトロ2063-列車待ちの乗客
furniture-20002507,地下鉄と人混みからの風を受けながら列に並んでいると、持っていた整理券をすべて奪われてしまった。
furniture-10002508,メトロ2063-プラットホームフェンス
furniture-20002508,かわいそうに。生み出された意図に反する事態が発生したときにしか、人間たちに気付いてもらえないなんて。
furniture-10002509,メトロ2063-プラットホームタイル
furniture-20002509,恐らくどの足跡にも、それぞれの物語があるのだろう。今度は誰の歩んだ軌跡と重なるのかな？
furniture-10002510,メトロ2063-プラットホームの壁
furniture-20002510,窓外の世界はもう眠っているが、多くの夢はいま目覚めたばかりだ。
furniture-10002511,メトロ2063-列車最後尾
furniture-20002511,この金属製の缶詰には、いつも食べ物がぎゅうぎゅうに詰まっているが、現実には本当の怪物が現れたことはない。
furniture-10002512,メトロ2063-列車車両
furniture-20002512,空いた座席に、一冊の本。あとはこれからすべきことを教えてくれる黒猫の一匹でもいれば、完璧だ。
furniture-10002513,メトロ2063-駅名標
furniture-20002513,本当に目的地が定まっているのなら、目の前の転換点なんてどうでもいいことだと、すぐに分かる。
furniture-10030701,ST AR-15-新学期
furniture-20030701,ST AR-15のポスター。
furniture-10030702,M950A-横柄な日直
furniture-20030702,M950Aのポスター。
furniture-10030703,Gr MG4-サバイバル社員
furniture-20030703,Gr MG4のポスター。
furniture-10030704,6P62-戦うセーラー
furniture-20030704,6P62のポスター。
furniture-10002601,いつもの部室-エアークッション
furniture-20002601,室内に置くのと室外に置くのでは役割が異なる。現実とゲームの世界でも同じことがいえよう。
furniture-10002602,いつもの部室-パイプチェア
